RPID,LETTER_CODE,"SHORT_NAME","LONG_NAME",MODALITY,PLAYBOOK_TYPE,POPULATION,BODY_REGION,BODY_REGION_2,BODY_REGION_3,BODY_REGION_4,BODY_REGION_5,MODALITY_MODIFIER,MODALITY_MODIFIER_2,MODALITY_MODIFIER_3,PROCEDURE_MODIFIER,PROCEDURE_MODIFIER_2,ANATOMIC_FOCUS,ANATOMIC_FOCUS_2,LATERALITY,REASON_FOR_EXAM,REASON_FOR_EXAM_2,REASON_FOR_EXAM_3,TECHNIQUE,PHARMACEUTICAL,PHARMACEUTICAL_2,VIEW,VIEW_2,VIEW_3,VIEW_4,,RIDS
RPID2525,XRFI,"XR Fingers","XR Fingers",XR,RADIOLOGY ORDERABLE, ,UPPER EXTREMITY, , , , , , , , , ,FINGER, , , , , , , , , , , , , ,RID10345|RID13060|0|RID1850|0|0|0|0|0|0|0|0|0|RID2391|0|0|0|0|0|0|0|0|0|0|0|0|
RPID2531,XRFT3V,"XR Foot 3+V","XR Foot 3+ Views",XR,RADIOLOGY ORDERABLE, ,LOWER EXTREMITY, , , , ,3 OR MORE VIEWS, , , , ,FOOT, , , , , , , , , , , , , ,RID10345|RID13060|0|RID2638|0|0|0|0|RID43405|0|0|0|0|RID28829|0|0|0|0|0|0|0|0|0|0|0|0|
RPID2533,XRCL,"XR Calcaneus 2V","XR Calcaneus 2 Views",XR,RADIOLOGY ORDERABLE, ,LOWER EXTREMITY, , , , , , , , , ,CALCANEUS, , , , , , , , , , , , , ,RID10345|RID13060|0|RID2638|0|0|0|0|0|0|0|0|0|RID2959|0|0|0|0|0|0|0|0|0|0|0|0|
RPID2537,XRHPOP,"XR Hip Intraop","XR Hip Intraoperative",XR,RADIOLOGY ORDERABLE, ,LOWER EXTREMITY, , , , , , , , , ,HIP, ,UNILATERAL, , , , , , , , , , , ,RID10345|RID13060|0|RID2638|0|0|0|0|0|0|0|0|0|RID2639|0|RID38593|0|0|0|0|0|0|0|0|0|0|
RPID2540,XRHU,"XR Humerus","XR Humerus",XR,RADIOLOGY ORDERABLE, ,UPPER EXTREMITY, , , , , , , , , ,HUMERUS, , , , , , , , , , , , , ,RID10345|RID13060|0|RID1850|0|0|0|0|0|0|0|0|0|RID1971|0|0|0|0|0|0|0|0|0|0|0|0|
RPID2544,XRHN3V,"XR Hand 3+V","XR Hand 3+ Views",XR,RADIOLOGY ORDERABLE, ,UPPER EXTREMITY, , , , ,3 OR MORE VIEWS, , , , ,HAND, , , , , , , , , , , , , ,RID10345|RID13060|0|RID1850|0|0|0|0|RID43405|0|0|0|0|RID2318|0|0|0|0|0|0|0|0|0|0|0|0|
RPID2546,XRKN12V,"XR Knee 1-2V","XR Knee 1-2 Views",XR,RADIOLOGY ORDERABLE, ,LOWER EXTREMITY, , , , ,1 - 2 VIEWS, , , , ,KNEE, , , , , , , , , , , , , ,RID10345|RID13060|0|RID2638|0|0|0|0|RID43400|0|0|0|0|RID2743|0|0|0|0|0|0|0|0|0|0|0|0|
RPID2548,XRKN4V,"XR Knee 4+V","XR Knee 4+ Views",XR,RADIOLOGY ORDERABLE, ,LOWER EXTREMITY, , , , ,4 OR MORE VIEWS, , , , ,KNEE, , , , , , , , , , , , , ,RID10345|RID13060|0|RID2638|0|0|0|0|RID43407|0|0|0|0|RID2743|0|0|0|0|0|0|0|0|0|0|0|0|
RPID2550,XRLS23V,"XR L-Spine 2-3V","XR Lumbar Spine 2-3 Views",XR,RADIOLOGY ORDERABLE, ,LUMBAR SPINE, , , , ,2 - 3 VIEWS, , , , , , , , , , , , , , , , , , ,RID10345|RID13060|0|RID34573|0|0|0|0|RID43401|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
RPID2554,XRMA3+VB,"XR Mastoids 3+V Bilat","XR Mastoids 3+ Views Bilateral",XR,RADIOLOGY ORDERABLE, ,HEAD, , , , , , , , , ,MASTOID, , , , , , , , , , , , , ,RID10345|RID13060|0|RID9080|0|0|0|0|0|0|0|0|0|RID35754|0|0|0|0|0|0|0|0|0|0|0|0|
RPID2557,XRPL1V,"XR Pelv 1V","XR Pelvis 1 View",XR,RADIOLOGY ORDERABLE, ,PELVIS, , , , ,1 VIEW, , , , , , , , , , , , , , , , , , ,RID10345|RID13060|0|RID2507|0|0|0|0|RID43399|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
RPID2560,XRRB2VT,"XR Ribs 2V Unilat","XR Ribs 2 Views Unilateral",XR,RADIOLOGY ORDERABLE, ,CHEST, , , , ,2 VIEWS, , , , ,RIBS, , , , , , , , , , , , , ,RID10345|RID13060|0|RID1243|0|0|0|0|RID43403|0|0|0|0|RID28591|0|0|0|0|0|0|0|0|0|0|0|0|
RPID2564,XRSH1V,"XR Shoulder 1V","XR Shoulder 1 View",XR,RADIOLOGY ORDERABLE, ,UPPER EXTREMITY, , , , ,1 VIEW, , , , ,SHOULDER, , , , , , , , , , , , , ,RID10345|RID13060|0|RID1850|0|0|0|0|RID43399|0|0|0|0|RID1852|0|0|0|0|0|0|0|0|0|0|0|0|
RPID2565,XRSH2+V,"XR Shoulder 2+V","XR Shoulder 2+ Views",XR,RADIOLOGY ORDERABLE, ,UPPER EXTREMITY, , , , ,2 OR MORE VIEWS, , , , ,SHOULDER, , , , , , , , , , , , , ,RID10345|RID13060|0|RID1850|0|0|0|0|RID43402|0|0|0|0|RID1852|0|0|0|0|0|0|0|0|0|0|0|0|
RPID2567,XRSI3+V,"XR Sinuses 3+V","XR Paranasal Sinuses 3+ Views",XR,RADIOLOGY ORDERABLE, ,HEAD, , , , ,3 OR MORE VIEWS, , , , ,PARANASAL SINUSES, , , , , , , , , , , , , ,RID10345|RID13060|0|RID9080|0|0|0|0|RID43405|0|0|0|0|RID28579|0|0|0|0|0|0|0|0|0|0|0|0|
RPID2571,XRSP,"XR Spine","XR Spine",XR,RADIOLOGY ORDERABLE, ,SPINE, , , , ,1 VIEW, , , , , , , , , , , , , , , , , , ,RID10345|RID13060|0|RID7741|0|0|0|0|RID43399|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
RPID2576,XRTU,"XR Thumb","XR Thumb",XR,RADIOLOGY ORDERABLE, ,UPPER EXTREMITY, , , , , , , , , ,THUMB, , , , , , , , , , , , , ,RID10345|RID13060|0|RID1850|0|0|0|0|0|0|0|0|0|RID2392|0|0|0|0|0|0|0|0|0|0|0|0|
RPID2577,XRTF2V,"XR Tibia Fibula 2V","XR Tibia Fibula 2 Views",XR,RADIOLOGY ORDERABLE, ,LOWER EXTREMITY, , , , ,2 VIEWS, , , , ,TIBIA,FIBULA, , , , , , , , , , , , ,RID10345|RID13060|0|RID2638|0|0|0|0|RID43403|0|0|0|0|RID2885|RID2871|0|0|0|0|0|0|0|0|0|0|0|
RPID2579,XRTMJOCB,"XR TMJ Open+Closed Bilat","XR Temporomandibular Joint Open and Closed Bilateral",XR,RADIOLOGY ORDERABLE, ,HEAD, , , , , , , , , ,TEMPOROMANDIBULAR JOINT, , , , , , , , , , , , , ,RID10345|RID13060|0|RID9080|0|0|0|0|0|0|0|0|0|RID9779|0|0|0|0|0|0|0|0|0|0|0|0|
RPID2589,XRWR3+V,"XR Wrist 3+V","XR Wrist 3+ Views",XR,RADIOLOGY ORDERABLE, ,UPPER EXTREMITY, , , , ,3 OR MORE VIEWS, , , , ,WRIST, , , , , , , , , , , , , ,RID10345|RID13060|0|RID1850|0|0|0|0|RID43405|0|0|0|0|RID2177|0|0|0|0|0|0|0|0|0|0|0|0|
RPID2590,XRAB1V,"XR Abd 1V","XR Abdomen 1 View",XR,RADIOLOGY ORDERABLE, ,ABDOMEN, , , , ,1 VIEW, , , , , , , , , , , , , , , , , , ,RID10345|RID13060|0|RID56|0|0|0|0|RID43399|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
RPID2592,XRAB3+V,"XR Abd 3+V","XR Abdomen 3+ Views",XR,RADIOLOGY ORDERABLE, ,ABDOMEN, , , , ,3 OR MORE VIEWS, , , , , , , , , , , , , , , , , , ,RID10345|RID13060|0|RID56|0|0|0|0|RID43405|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
RPID2595,XRST,"XR Sella Turcica","XR Sella Turcica",XR,RADIOLOGY ORDERABLE, ,HEAD, , , , , , , , , ,SELLA TURCICA, , , , , , , , , , , , , ,RID10345|RID13060|0|RID9080|0|0|0|0|0|0|0|0|0|RID9286|0|0|0|0|0|0|0|0|0|0|0|0|
RPID2600,XRAK12V,"XR Ankle 1-2V","XR Ankle 1-2 Views",XR,RADIOLOGY ORDERABLE, ,LOWER EXTREMITY, , , , ,1 - 2 VIEWS, , , , ,ANKLE, , , , , , , , , , , , , ,RID10345|RID13060|0|RID2638|0|0|0|0|RID43400|0|0|0|0|RID28545|0|0|0|0|0|0|0|0|0|0|0|0|
RPID2606,XRBAE,"XR Bone Age Extended","XR Bone Age Extended",XR,RADIOLOGY ORDERABLE, ,BONE, , , , ,BONE AGE,EXTENDED, , , , , , , , , , , , , , , , , ,RID10345|RID13060|0|RID13197|0|0|0|0|RID39030|RID45660|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
RPID2624,XRCS1V,"XR C-Spine 1V","XR Cervical Spine 1 View",XR,RADIOLOGY ORDERABLE, ,CERVICAL SPINE, , , , ,1 VIEW, , , , , , , , , , , , , , , , , , ,RID10345|RID13060|0|RID34571|0|0|0|0|RID43399|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
RPID2626,DXBNDNEX,"DXA Extremity","DXA Bone Density Extremity",XR,RADIOLOGY ORDERABLE, ,BONE, , , , ,DXA, , ,PERIPHERAL, , , , , , , , , , , , , , , ,RID10345|RID13060|0|RID13197|0|0|0|0|RID10363|0|0|RID5828|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
RPID2630,XREL12V,"XR Elbow 1-2V","XR Elbow 1-2 Views",XR,RADIOLOGY ORDERABLE, ,UPPER EXTREMITY, , , , ,1 - 2 VIEWS, , , , ,ELBOW, , , , , , , , , , , , , ,RID10345|RID13060|0|RID1850|0|0|0|0|RID43400|0|0|0|0|RID2010|0|0|0|0|0|0|0|0|0|0|0|0|
RPID2631,XRFA2V,"XR Forearm 2V","XR Forearm 2 Views",XR,RADIOLOGY ORDERABLE, ,UPPER EXTREMITY, , , , ,2 VIEWS, , , , ,FOREARM, , , , , , , , , , , , , ,RID10345|RID13060|0|RID1850|0|0|0|0|RID43403|0|0|0|0|RID2107|0|0|0|0|0|0|0|0|0|0|0|0|
RPID2635,XRFT12V,"XR Foot 1-2V","XR Foot 1-2 Views",XR,RADIOLOGY ORDERABLE, ,LOWER EXTREMITY, , , , ,1 - 2 VIEWS, , , , ,FOOT, , , , , , , , , , , , , ,RID10345|RID13060|0|RID2638|0|0|0|0|RID43400|0|0|0|0|RID28829|0|0|0|0|0|0|0|0|0|0|0|0|
RPID2639,XRHP2+VBPL,"XR Hip 2+V Bilat+AP Pelv","XR Hip 2+ Views Bilateral With Anteroposterior Pelvis",XR,RADIOLOGY ORDERABLE, ,LOWER EXTREMITY,PELVIS, , , ,2 OR MORE VIEWS, , , , ,HIP, ,BILATERAL, , , , , , ,AP, , , , ,RID10345|RID13060|0|RID2638|RID2507|0|0|0|RID43402|0|0|0|0|RID2639|0|RID5771|0|0|0|0|0|0|RID43583|0|0|0|
RPID2640,XRHP2+V,"XR Hip 2+V","XR Hip 2+ Views",XR,RADIOLOGY ORDERABLE, ,LOWER EXTREMITY, , , , ,2 OR MORE VIEWS, , , , ,HIP, , , , , , , , , , , , , ,RID10345|RID13060|0|RID2638|0|0|0|0|RID43402|0|0|0|0|RID2639|0|0|0|0|0|0|0|0|0|0|0|0|
RPID2643,XRHP1V,"XR Hip 1V","XR Hip 1 View",XR,RADIOLOGY ORDERABLE, ,LOWER EXTREMITY, , , , ,1 VIEW, , , , ,HIP, , , , , , , , , , , , , ,RID10345|RID13060|0|RID2638|0|0|0|0|RID43399|0|0|0|0|RID2639|0|0|0|0|0|0|0|0|0|0|0|0|
RPID2644,XRHN12V,"XR Hand 1-2V","XR Hand 1-2 Views",XR,RADIOLOGY ORDERABLE, ,UPPER EXTREMITY, , , , ,1 - 2 VIEWS, , , , ,HAND, , , , , , , , , , , , , ,RID10345|RID13060|0|RID1850|0|0|0|0|RID43400|0|0|0|0|RID2318|0|0|0|0|0|0|0|0|0|0|0|0|
RPID2648,XRCS6+V,"XR C-Spine 6+V","XR Cervical Spine 6+ Views",XR,RADIOLOGY ORDERABLE, ,CERVICAL SPINE, , , , , , , , , , , , , , , , , , , , , , , ,RID10345|RID13060|0|RID34571|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
RPID2649,XRKN3V,"XR Knee 3V","XR Knee 3 Views",XR,RADIOLOGY ORDERABLE, ,LOWER EXTREMITY, , , , ,3 OR MORE VIEWS, , , , ,KNEE, , , , , , , , , , , , , ,RID10345|RID13060|0|RID2638|0|0|0|0|RID43405|0|0|0|0|RID2743|0|0|0|0|0|0|0|0|0|0|0|0|
RPID2650,XRLS6+VBN,"XR L-Spine 6+V Incl Bending","XR Lumbar Spine 6+ Views Including Bending",XR,RADIOLOGY ORDERABLE, ,LUMBAR SPINE, , , , , , , , , , , , , , , , , , ,BENDING, , , , ,RID10345|RID13060|0|RID34573|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|RID43585|0|0|0|
RPID2651,XRLS4+V,"XR L-Spine 4+V","XR Lumbar Spine 4+ Views",XR,RADIOLOGY ORDERABLE, ,LUMBAR SPINE, , , , ,COMPLETE, , , , , , , , , , , , , , , , , , ,RID10345|RID13060|0|RID34573|0|0|0|0|RID5689|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
RPID2652,XRLSAPL,"XR L-Spine AP+Lat","XR Lumbar Spine Anteroposterior and Lateral",XR,RADIOLOGY ORDERABLE, ,LUMBAR SPINE, , , , , , , , , , , , , , , , , , ,AP,LATERAL, , , ,RID10345|RID13060|0|RID34573|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|RID43583|RID43591|0|0|
RPID2656,XRPL3+V,"XR Pelv 3+V","XR Pelvis 3+ Views",XR,RADIOLOGY ORDERABLE, ,PELVIS, , , , ,COMPLETE, , , , , , , , , , , , , , , , , , ,RID10345|RID13060|0|RID2507|0|0|0|0|RID5689|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
RPID2657,XRPLAP,"XR Pelv 1V AP","XR Pelvis 1 View Anteroposterior",XR,RADIOLOGY ORDERABLE, ,PELVIS, , , , , , , , , , , , , , , , , , ,AP, , , , ,RID10345|RID13060|0|RID2507|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|RID43583|0|0|0|
RPID2661,XRSC,"XR Scapula","XR Scapula",XR,RADIOLOGY ORDERABLE, ,UPPER EXTREMITY, , , , , , , , , ,SCAPULA, , , , , , , , , , , , , ,RID10345|RID13060|0|RID1850|0|0|0|0|0|0|0|0|0|RID1860|0|0|0|0|0|0|0|0|0|0|0|0|
RPID2662,XRSP2+V,"XR Entire Spine 2+V","XR Entire Spine 2+ Views",XR,RADIOLOGY ORDERABLE, ,SPINE, , , , ,COMPLETE, , , , , , , , , , , , , , , , , , ,RID10345|RID13060|0|RID7741|0|0|0|0|RID5689|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
RPID2666,XRTS2V,"XR T-Spine 2V","XR Thoracic Spine 2 Views",XR,RADIOLOGY ORDERABLE, ,THORACIC SPINE, , , , , , , , , , , , , , , , , , ,AP,LATERAL, , , ,RID10345|RID13060|0|RID28677|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|RID43583|RID43591|0|0|
RPID2667,XRTL2V,"XR TL-Spine 2V","XR Thoracolumbar Spine 2 Views",XR,RADIOLOGY ORDERABLE, ,THORACOLUMBAR SPINE, , , , , , , , , , , , , , , , , , ,AP,LATERAL, , , ,RID10345|RID13060|0|RID35809|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|RID43583|RID43591|0|0|
RPID2670,XRWR12V,"XR Wrist 1-2V","XR Wrist 1-2 Views",XR,RADIOLOGY ORDERABLE, ,UPPER EXTREMITY, , , , ,1 - 2 VIEWS, , , , ,WRIST, , , , , , , , , , , , , ,RID10345|RID13060|0|RID1850|0|0|0|0|RID43400|0|0|0|0|RID2177|0|0|0|0|0|0|0|0|0|0|0|0|
RPID2673,XRLS1V,"XR L-Spine 1V","XR Lumbar Spine 1 View",XR,RADIOLOGY ORDERABLE, ,LUMBAR SPINE, , , , ,1 VIEW, , , , , , , , , , , , , , , , , , ,RID10345|RID13060|0|RID34573|0|0|0|0|RID43399|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
RPID2709,XRPL12V,"XR Pelv 1-2V","XR Pelvis 1-2 Views",XR,RADIOLOGY ORDERABLE, ,PELVIS, , , , ,1 - 2 VIEWS, , , , , , , , , , , , , , , , , , ,RID10345|RID13060|0|RID2507|0|0|0|0|RID43400|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
RPID2710,XRPY,"XR Pelvimetry","XR Pelvimetry",XR,RADIOLOGY ORDERABLE, ,PELVIS, , , , ,PELVIMETRY, , , , , , , , , , , , , , , , , , ,RID10345|RID13060|0|RID2507|0|0|0|0|RID35772|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
RPID2712,XRRB3VB,"XR Ribs 3V Bilat","XR Ribs 3 Views Bilateral",XR,RADIOLOGY ORDERABLE, ,CHEST, , , , ,3 VIEWS, , , , ,RIBS, ,BILATERAL, , , , , , , , , , , ,RID10345|RID13060|0|RID1243|0|0|0|0|RID43406|0|0|0|0|RID28591|0|RID5771|0|0|0|0|0|0|0|0|0|0|
RPID2725,XRTS1V,"XR T-Spine 1V","XR Thoracic Spine 1 View",XR,RADIOLOGY ORDERABLE, ,THORACIC SPINE, , , , ,1 VIEW, , , , , , , , , , , , , , , , , , ,RID10345|RID13060|0|RID28677|0|0|0|0|RID43399|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
RPID3259,XRCX,"XR Coccyx 2+V","XR Coccyx 2+ Views",XR,RADIOLOGY ORDERABLE, ,PELVIS, , , , , , , , , ,COCCYX, , , , , , , , , , , , , ,RID10345|RID13060|0|RID2507|0|0|0|0|0|0|0|0|0|RID2524|0|0|0|0|0|0|0|0|0|0|0|0|
RPID3328,XRKNAPSTB,"XR Knees AP Stand Bilat","XR Knees Anteroposterior Standing Bilateral",XR,RADIOLOGY ORDERABLE, ,LOWER EXTREMITY, , , , , , , , , ,KNEE, ,BILATERAL, , , , , , , , , , , ,RID10345|RID13060|0|RID2638|0|0|0|0|0|0|0|0|0|RID2743|0|RID5771|0|0|0|0|0|0|0|0|0|0|
RPID3360,XRBAHN,"XR Bone Age Hand","XR Bone Age Hand",XR,RADIOLOGY ORDERABLE, ,UPPER EXTREMITY, , , , ,BONE AGE, , , , ,HAND, , , , , , , , , , , , , ,RID10345|RID13060|0|RID1850|0|0|0|0|RID39030|0|0|0|0|RID2318|0|0|0|0|0|0|0|0|0|0|0|0|
RPID3395,XROF,"XR Optic Foramina","XR Optic Foramina",XR,RADIOLOGY ORDERABLE, ,HEAD, , , , , , , , , ,OPTIC FORAMINA, , , , , , , , , , , , , ,RID10345|RID13060|0|RID9080|0|0|0|0|0|0|0|0|0|RID43694|0|0|0|0|0|0|0|0|0|0|0|0|
RPID3434,XREYFB,"XR Eye FB","XR Eye Foreign Body",XR,RADIOLOGY ORDERABLE, ,HEAD, , , , , , , , , ,ORBITS, , ,FOREIGN BODY, , , , , , , , , , ,RID10345|RID13060|0|RID9080|0|0|0|0|0|0|0|0|0|RID28601|0|0|RID5425|0|0|0|0|0|0|0|0|0|
RPID3443,XRNKSQ,"XR Neck Soft Tissue","XR Neck Soft Tissue",XR,RADIOLOGY ORDERABLE, ,NECK, , , , , , , , , , , , , , , , , , , , , , , ,RID10345|RID13060|0|RID7488|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
RPID3450,XRTMJOCT,"XR TMJ Open+Closed Unilat","XR Temporomandibular Joint Open and Closed Unilateral",XR,RADIOLOGY ORDERABLE, ,HEAD, , , , , , , , , ,TEMPOROMANDIBULAR JOINT, ,UNILATERAL, , , , , , , , , , , ,RID10345|RID13060|0|RID9080|0|0|0|0|0|0|0|0|0|RID9779|0|RID38593|0|0|0|0|0|0|0|0|0|0|
RPID3453,XRTS,"XR T-Spine","XR Thoracic Spine",XR,RADIOLOGY ORDERABLE, ,THORACIC SPINE, , , , , , , , , , , , , , , , , , , , , , , ,RID10345|RID13060|0|RID28677|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
RPID3484,MRFAC,"MR Forearm w/wo","MR Forearm w and wo IV Contrast",MR,RADIOLOGY ORDERABLE, ,UPPER EXTREMITY, , , , , , , , , ,FOREARM, , , , , , ,WITHOUT THEN WITH IV CONTRAST, , , , , , ,RID10312|RID13060|0|RID1850|0|0|0|0|0|0|0|0|0|RID2107|0|0|0|0|0|0|RID28771|0|0|0|0|0|
RPID3485,MRHUC,"MR Upper Arm w/wo","MR Upper Arm w and wo IV Contrast",MR,RADIOLOGY ORDERABLE, ,UPPER EXTREMITY, , , , , , , , , ,HUMERUS, , , , , , ,WITHOUT THEN WITH IV CONTRAST, , , , , , ,RID10312|RID13060|0|RID1850|0|0|0|0|0|0|0|0|0|RID1971|0|0|0|0|0|0|RID28771|0|0|0|0|0|
RPID4509,XRSACX2+V,"XR Sacrum Coccyx 2+V","XR Sacrum Coccyx 2+ Views",XR,RADIOLOGY ORDERABLE, ,PELVIS, , , , ,2 OR MORE VIEWS, , , , ,SACRUM,COCCYX, , , , , , , , , , , , ,RID10345|RID13060|0|RID2507|0|0|0|0|RID43402|0|0|0|0|RID2509|RID2524|0|0|0|0|0|0|0|0|0|0|0|
RPID4517,XRFC,"XR Facial","XR Facial",XR,RADIOLOGY ORDERABLE, ,FACE, , , , , , , , , ,FACIAL BONES, , , , , , , , , , , , , ,RID10345|RID13060|0|RID13284|0|0|0|0|0|0|0|0|0|RID28570|0|0|0|0|0|0|0|0|0|0|0|0|
RPID4540,XRNB,"XR Nasal Bones","XR Nasal Bones",XR,RADIOLOGY ORDERABLE, ,FACE, , , , ,3 OR MORE VIEWS, , , , ,NASAL BONES, , , , , , , , , , , , , ,RID10345|RID13060|0|RID13284|0|0|0|0|RID43405|0|0|0|0|RID43410|0|0|0|0|0|0|0|0|0|0|0|0|
RPID4552,XRSJ3+V,"XR Sacroiliac Joints 3+V","XR Sacroiliac Joints 3+ Views",XR,RADIOLOGY ORDERABLE, ,PELVIS, , , , ,3 OR MORE VIEWS, , , , ,SACROILIAC JOINT, , , , , , , , , , , , , ,RID10345|RID13060|0|RID2507|0|0|0|0|RID43405|0|0|0|0|RID2577|0|0|0|0|0|0|0|0|0|0|0|0|
RPID4678,XRRB2VTCH,"XR Ribs 2V Unilat+Chest","XR Ribs 2 Views Unilateral With Chest",XR,RADIOLOGY ORDERABLE, ,CHEST, , , , ,2 VIEWS, , , , ,RIBS, ,UNILATERAL, , , , , , , , , , , ,RID10345|RID13060|0|RID1243|0|0|0|0|RID43403|0|0|0|0|RID28591|0|RID38593|0|0|0|0|0|0|0|0|0|0|
RPID4715,XRWBI,"XR Whole Body Infant","XR Whole Body Infant",XR,RADIOLOGY ORDERABLE, ,WHOLEBODY, , , , , , , , , , , , , , , , , , , , , , , ,RID10345|RID13060|0|RID39569|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
RPID4788,XRSI12V,"XR Sinuses 1-2V","XR Paranasal Sinuses 1-2 Views",XR,RADIOLOGY ORDERABLE, ,HEAD, , , , ,1 - 2 VIEWS, , , , ,PARANASAL SINUSES, , , , , , , , , , , , , ,RID10345|RID13060|0|RID9080|0|0|0|0|RID43400|0|0|0|0|RID28579|0|0|0|0|0|0|0|0|0|0|0|0|
RPID4793,XRSG,"XR Salivary Gland","XR Salivary Gland",XR,RADIOLOGY ORDERABLE, ,HEAD, , , , , , , , , ,SALIVARY GLAND, , , , , , , , , , , , , ,RID10345|RID13060|0|RID9080|0|0|0|0|0|0|0|0|0|RID13421|0|0|0|0|0|0|0|0|0|0|0|0|
RPID4798,XROR4+V,"XR Orbits Comp 4+V","XR Orbits Complete 4+ Views",XR,RADIOLOGY ORDERABLE, ,HEAD, , , , ,4 OR MORE VIEWS, , , , ,ORBITS, , , , , , , , , , , , , ,RID10345|RID13060|0|RID9080|0|0|0|0|RID43407|0|0|0|0|RID28601|0|0|0|0|0|0|0|0|0|0|0|0|
RPID4802,XRTS1VL,"XR T-Spine 1V Lat","XR Thoracic Spine 1 View Lateral",XR,RADIOLOGY ORDERABLE, ,THORACIC SPINE, , , , , , , , , , , , , , , , , , ,LATERAL, , , , ,RID10345|RID13060|0|RID28677|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|RID43591|0|0|0|
RPID4832,MRPRU,"MR Prostate wo","MR Prostate wo IV Contrast",MR,RADIOLOGY ORDERABLE, ,PELVIS, , , , , , , , , ,PROSTATE, , , , , , ,WITHOUT IV CONTRAST, , , , , , ,RID10312|RID13060|0|RID2507|0|0|0|0|0|0|0|0|0|RID343|0|0|0|0|0|0|RID28768|0|0|0|0|0|
RPID5081,NMHB,"NM Hepatobiliary","NM Hepatobiliary",NM,RADIOLOGY ORDERABLE, ,ABDOMEN, , , , , , , , , ,GALLBLADDER, , , , , , , , , , , , , ,RID10330|RID13060|0|RID56|0|0|0|0|0|0|0|0|0|RID187|0|0|0|0|0|0|0|0|0|0|0|0|
RPID5083,NMBOWB,"NM Bone Whole Body","NM Bone Whole Body",NM,RADIOLOGY ORDERABLE, ,WHOLEBODY, , , , , , , , , ,BONE, , , , , , , , , , , , , ,RID10330|RID13060|0|RID39569|0|0|0|0|0|0|0|0|0|RID13197|0|0|0|0|0|0|0|0|0|0|0|0|
RPID5095,NMHRIF,"NM Heart Infarct","NM Heart Infarction",NM,RADIOLOGY ORDERABLE, ,CHEST, , , , , , , , , ,HEART, , ,INFARCT, , , , , , , , , , ,RID10330|RID13060|0|RID1243|0|0|0|0|0|0|0|0|0|RID1385|0|0|RID5172|0|0|0|0|0|0|0|0|0|
RPID5099,NMHDCSF,"NM Brain CSF Leak","NM Brain Cerebrospinal Fluid Leak",NM,RADIOLOGY ORDERABLE, ,SPINE,HEAD, , , , , , , , ,PARANASAL SINUSES, , ,CSF LEAK, , , , , , , , , , ,RID10330|RID13060|0|RID7741|RID9080|0|0|0|0|0|0|0|0|RID28579|0|0|RID4881|0|0|0|0|0|0|0|0|0|
RPID5108,NMESRF,"NM Esoph GE Reflux","NM Esophagus Gastroesophageal Reflux",NM,RADIOLOGY ORDERABLE, ,CHEST, , , , , , , , , ,ESOPHAGUS, , ,GASTROESOPHAGEAL REFLUX, , , , , , , , , , ,RID10330|RID13060|0|RID1243|0|0|0|0|0|0|0|0|0|RID95|0|0|RID5260|0|0|0|0|0|0|0|0|0|
RPID5110,NMGIBL,"NM GI Bleed","NM Gastrointestinal Bleeding",NM,RADIOLOGY ORDERABLE, ,ABDOMEN, , , , , , , , , ,GASTROINTESTINAL TRACT, , ,GI BLEED, , , , , , , , , , ,RID10330|RID13060|0|RID56|0|0|0|0|0|0|0|0|0|RID94|0|0|RID43369|0|0|0|0|0|0|0|0|0|
